field_1,id,message_ti,volts,d/m/y,hdop,latitude,longitude,siv,h/m/s/cs
"276",eui-70b3d57ed0044a2c,2021/09/11 12:17:24.862,3.973600000000000,"110921",12.000000000000000,47.763683299999997,8.995671200000000,"3",121723.000000000000000
"279",eui-70b3d57ed004476d,2021/09/11 12:03:43.815,4.037100000000000,"110921",1.100000000000000,47.764434799999997,8.995222999999999,"6",120342.000000000000000
"301",eui-70b3d57ed004476f,2021/09/11 10:50:28.208,3.836700000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"6",105026.000000000000000
"306",eui-70b3d57ed0044a2d,2021/09/11 10:37:07.394,3.978400000000000,"110921",1.200000000000000,47.763908299999997,8.995592100000000,"6",103705.000000000000000
"309",eui-70b3d57ed0044a2e,2021/09/11 10:32:08.544,4.125100000000000,"110921",2.400000000000000,47.764297399999997,8.996288200000000,"5",103206.000000000000000
"312",eui-70b3d57ed004476e,2021/09/11 10:28:23.003,4.130000000000000,"110921",7.400000000000000,47.765506700000003,8.995070399999999,"6",102820.619999999995343
"313",eui-70b3d57ed0044a2f,2021/09/11 10:28:02.859,4.022400000000000,"110921",3.400000000000000,47.763526900000002,8.998188000000003,"6",102800.460000000006403
"318",eui-70b3d57ed0044a2c,2021/09/11 10:12:23.029,4.022400000000000,"110921",20.399999999999999,47.763683299999997,8.995671200000000,"0",101221.149999999994179
"320",eui-70b3d57ed004476d,2021/09/11 10:03:22.213,4.042000000000000,"110921",1.100000000000000,47.764434799999997,8.995222999999999,"6",100320.000000000000000
"321",eui-70b3d57ed0044a2b,2021/09/11 10:03:06.730,3.988200000000000,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"6",100304.649999999994179
"343",eui-70b3d57ed004476c,2021/09/11 09:00:18.805,4.012700000000000,"110921",2.300000000000000,47.765266400000002,8.994366599999999,"6",90016.979999999995925
"345",eui-70b3d57ed004476f,2021/09/11 08:48:23.029,3.856300000000000,"110921",1.300000000000000,47.764423299999997,8.996716400000000,"6",84819.830000000001746
"351",eui-70b3d57ed0044a2d,2021/09/11 08:36:14.792,3.988200000000000,"110921",1.000000000000000,47.764316500000000,8.995296400000003,"7",83612.169999999998254
"353",eui-70b3d57ed0044a2e,2021/09/11 08:31:21.171,4.139700000000001,"110921",1.300000000000000,47.764499600000001,8.995991699999999,"5",83118.770000000004075
"356",eui-70b3d57ed004476e,2021/09/11 08:27:57.135,4.125100000000000,"110921",7.400000000000000,47.765506700000003,8.995070399999999,"6",82754.770000000004075
"357",eui-70b3d57ed0044a2f,2021/09/11 08:27:05.858,4.027300000000001,"110921",1.000000000000000,47.763526900000002,8.998188000000003,"5",82704.139999999999418
"362",eui-70b3d57ed0044a2c,2021/09/11 08:07:20.791,4.090900000000001,"110921",1.000000000000000,47.763683299999997,8.995671200000000,"6",80718.210000000006403
"364",eui-70b3d57ed004476d,2021/09/11 08:02:51.044,4.042000000000000,"110921",1.000000000000000,47.764202099999999,8.995737000000000,"8",80248.639999999999418
"383",eui-70b3d57ed004476c,2021/09/11 07:00:07.767,4.022400000000000,"110921",2.300000000000000,47.765266400000002,8.994366599999999,"6",70004.830000000001746
